Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,accuracy_pic_trial,accuracy,trial_dur,match,accuracy_color_trial,prop_correct,minutes,,accuracy_percentage,phase,correct_resp,correct_response
39,1647007527044,11/03/2022 14:05:27,1647007526955,1,11/03/2022 15:05:26,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,980.9000000953674,/task/320432/9/asset/comb.jpg,,,j,image-keyboard-response,38,105098,0.0-2.2-0.18,,1,1,2490,,,0.9567567567567569,,,,test,,j
40,1647007529567,11/03/2022 14:05:29,1647007529479,1,11/03/2022 15:05:29,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,439,/task/320432/9/asset/pink.png,,, ,image-keyboard-response,39,107623,0.0-2.2-2.18,,,1,2520,1,1,0.9657894736842106,1.2504166666666667,,,test,, 
41,1647007532118,11/03/2022 14:05:32,1647007532033,1,11/03/2022 15:05:32,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,684.7999999523163,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,40,110176,0.0-2.2-0.19,,1,1,2550,,,0.9589743589743589,,,,test,,f
42,1647007534693,11/03/2022 14:05:34,1647007534617,1,11/03/2022 15:05:34,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,398.2999999523163,/task/320432/9/asset/pink.png,,, ,image-keyboard-response,41,112761,0.0-2.2-2.19,,,1,2580,1,1,0.9675,1.33605,,,test,, 
43,1647007537316,11/03/2022 14:05:37,1647007537231,1,11/03/2022 15:05:37,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,645.9000000953674,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,42,115374,0.0-2.2-0.20,,1,1,2610,,,0.9609756097560975,,,,test,,f
44,1647007539955,11/03/2022 14:05:39,1647007539876,1,11/03/2022 15:05:39,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,479.59999990463257,/task/320432/9/asset/pink.png,,, ,image-keyboard-response,43,118019,0.0-2.2-2.20,,,1,2640,1,1,0.9690476190476192,1.4237,,,test,, 
45,1647007542646,11/03/2022 14:05:42,1647007542550,1,11/03/2022 15:05:42,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,770.7000000476837,/task/320432/9/asset/comb.jpg,,,j,image-keyboard-response,44,120694,0.0-2.2-0.21,,1,1,2670,,,0.9627906976744186,,,,test,,j
46,1647007545332,11/03/2022 14:05:45,1647007545255,1,11/03/2022 15:05:45,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/purple.png,,,,image-keyboard-response,45,123399,0.0-2.2-2.21,,,1,2700,,1,0.9704545454545456,1.51335,,,test,,
47,1647007548066,11/03/2022 14:05:48,1647007547989,1,11/03/2022 15:05:47,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,677.6999998092651,/task/320432/9/asset/truck.jpg,,,f,image-keyboard-response,46,126133,0.0-2.2-0.22,,1,1,2730,,,0.9644444444444445,,,,test,,f
48,1647007550846,11/03/2022 14:05:50,1647007550754,1,11/03/2022 15:05:50,73265,15,task-2i7q,,20300996,BLIND,6021527,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x864,Part 1 completed,Basic Experiment_Dutch_Acc1,9,Part 1 completed,,Accuracy_level_1,,/task/320432/9/asset/red.png,,,,image-keyboard-response,47,128897,0.0-2.2-2.22,,,1,2760,,1,0.9717391304347827,1.605,,,test,,
