Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
155,1644954685377,15/02/2022 19:51:25,1644954684727,1,15/02/2022 20:51:24,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,36,39,2,Screen 2,advancementZone,response_keyboard_single,312,,,spacebar,1,0,1,0,,,,,1,demonstration,5000,250,
156,1644954686392,15/02/2022 19:51:26,1644954685725,1,15/02/2022 20:51:25,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,36,39,3,Screen 3,advancementZone,timelimit_screen,1000,,,,,0,1,0,,,1,,1,demonstration,5000,250,
157,1644954686658,15/02/2022 19:51:26,1644954685975,1,15/02/2022 20:51:25,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,36,39,5,end,Zone1,timelimit_screen,249.99499999999534,,,,,0,1,0,,,1,,1,demonstration,5000,250,
158,1644954688618,15/02/2022 19:51:28,1644954687975,1,15/02/2022 20:51:27,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,12,40,1,Screen 1,Zone1,timelimit_screen,2000.0160000000033,,,,,0,1,0,,,1,,1,demonstration,2000,250,
159,1644954689025,15/02/2022 19:51:29,1644954688338,1,15/02/2022 20:51:28,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,12,40,2,Screen 2,advancementZone,response_keyboard_single,356.5,,,spacebar,1,0,1,0,,,,,1,demonstration,2000,250,
160,1644954689978,15/02/2022 19:51:29,1644954689325,1,15/02/2022 20:51:29,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,12,40,3,Screen 3,advancementZone,timelimit_screen,999.9959999999846,,,,,0,1,0,,,1,,1,demonstration,2000,250,
161,1644954690228,15/02/2022 19:51:30,1644954689575,1,15/02/2022 20:51:29,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,12,40,5,end,Zone1,timelimit_screen,249.9099999999744,,,,,0,1,0,,,1,,1,demonstration,2000,250,
162,1644954690306,15/02/2022 19:51:30,1644954689584,1,15/02/2022 20:51:29,73265,15,task-dt2v,,19475581,BLIND,5768209,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.82,1536x864,1519x754,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,END TASK,,,,,291919,,,,,0,1,0,,,,,,,,,
1,1644953844723,15/02/2022 19:37:24,1644953844625,1,15/02/2022 20:37:24,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1644953847717,15/02/2022 19:37:27,1644953847674,1,15/02/2022 20:37:27,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3021.2999999970198,,,,,0,1,0,,,,,,instructions,,,
3,1644954336447,15/02/2022 19:45:36,1644954336397,1,15/02/2022 20:45:36,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
4,1644954339260,15/02/2022 19:45:39,1644954339222,1,15/02/2022 20:45:39,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2797,,,,,0,1,0,,,,,,instructions,,,
5,1644954344263,15/02/2022 19:45:44,1644954344228,1,15/02/2022 20:45:44,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,1,1,Screen 1,Zone1,timelimit_screen,5005.0869999999995,,,,,0,1,0,,,1,,1,demonstration,5000,250,
6,1644954345096,15/02/2022 19:45:45,1644954345064,1,15/02/2022 20:45:45,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,1,2,Screen 2,advancementZone,response_keyboard_single,831.5999999940395,,,spacebar,1,0,1,0,,,,,1,demonstration,5000,250,
7,1644954346127,15/02/2022 19:45:46,1644954346057,1,15/02/2022 20:45:46,73265,15,task-dt2v,,19475277,BLIND,5768545,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x880,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,26,1,3,Screen 3,advancementZone,timelimit_screen,1001.0380000000005,,,,,0,1,0,,,1,,1,demonstration,5000,250,
