Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Reaction Time,Stimulus,Key Press,Test Part,Correct Response,Trial Type,Trial Index,Time Elapsed,Internal Node ID,Correct,match,phase,correct_resp,prop_correct,accuracy_color_trial,minutes
14,1647900607387,21/03/2022 22:10:07,1647900604702,1,21/03/2022 23:10:04,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,13,21307,0.0-1.0-0.6,,,,,,,
15,1647900608870,21/03/2022 22:10:08,1647900606205,1,21/03/2022 23:10:06,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,575.5,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,14,22810,0.0-1.0-1.6,,1,test, ,0.6,1,0.1878
16,1647900608971,21/03/2022 22:10:08,1647900606308,1,21/03/2022 23:10:06,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,15,22913,0.0-1.0-0.7,,,,,,,
17,1647900610465,21/03/2022 22:10:10,1647900607810,1,21/03/2022 23:10:07,73265,15,task-nzlp,,20636050,BLIND,6099386,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x722,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/pink.png,,,,image-keyboard-response,16,24414,0.0-1.0-1.7,,,test,,0.6066666666666667,1,0.21455
1,1647711239137,19/03/2022 17:33:59,1647711238936,1,19/03/2022 18:33:58,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,5089,,,,,instructions,0,5091,0.0-0.0,,,,,,,
2,1647711239215,19/03/2022 17:33:59,1647711239041,1,19/03/2022 18:33:59,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,1,5196,0.0-1.0-0.0,,,,,,,
3,1647711240685,19/03/2022 17:34:00,1647711240548,1,19/03/2022 18:34:00,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,831,/task/320040/6/asset/green.png,,,,image-keyboard-response,2,6702,0.0-1.0-1.0,,,test,,0,,0.026866666666666667
4,1647711240749,19/03/2022 17:34:00,1647711240653,1,19/03/2022 18:34:00,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,3,6808,0.0-1.0-0.1,,,,,,,
5,1647711242262,19/03/2022 17:34:02,1647711242159,1,19/03/2022 18:34:02,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/white.png,,,,image-keyboard-response,4,8314,0.0-1.0-1.1,,,test,,0.43333333333333335,1,0.05371666666666667
6,1647711242374,19/03/2022 17:34:02,1647711242265,1,19/03/2022 18:34:02,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,5,8420,0.0-1.0-0.2,,,,,,,
7,1647711243882,19/03/2022 17:34:03,1647711243784,1,19/03/2022 18:34:03,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,430,/task/320040/6/asset/white.png,,,,image-keyboard-response,6,9939,0.0-1.0-1.2,,1,test, ,0.52,1,0.0808
8,1647711244002,19/03/2022 17:34:04,1647711243889,1,19/03/2022 18:34:03,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,7,10043,0.0-1.0-0.3,,,,,,,
9,1647711245501,19/03/2022 17:34:05,1647711245395,1,19/03/2022 18:34:05,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,386.9999999999982,/task/320040/6/asset/white.png,,,,image-keyboard-response,8,11550,0.0-1.0-1.3,,1,test, ,0.5571428571428572,1,0.10765
10,1647711245600,19/03/2022 17:34:05,1647711245502,1,19/03/2022 18:34:05,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,9,11656,0.0-1.0-0.4,,,,,,,
11,1647711247111,19/03/2022 17:34:07,1647711247008,1,19/03/2022 18:34:07,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,10,13163,0.0-1.0-1.4,,,test,,0.5777777777777778,1,0.13453333333333334
12,1647711247209,19/03/2022 17:34:07,1647711247114,1,19/03/2022 18:34:07,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,11,13269,0.0-1.0-0.5,,,,,,,
13,1647711249172,19/03/2022 17:34:09,1647711248629,1,19/03/2022 18:34:08,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,359,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,12,14783,0.0-1.0-1.5,,1,test, ,0.5909090909090909,1,0.16155
14,1647711249344,19/03/2022 17:34:09,1647711248734,1,19/03/2022 18:34:08,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,,"<div style=""font-size:60px;"">  </div>",,,,html-keyboard-response,13,14889,0.0-1.0-0.6,,,,,,,
15,1647711250348,19/03/2022 17:34:10,1647711250239,1,19/03/2022 18:34:10,73265,15,task-nzlp,,20561730,BLIND,6052332,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x820,Part 1 completed,Colors_Only_Dutch,6,,Part 1 completed,Accuracy_level_0.55,366.00000000000364,/task/320040/6/asset/yellow.png,,,,image-keyboard-response,14,16393,0.0-1.0-1.6,,1,test, ,0.6,1,0.18838333333333335
