Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
135,1647029406658,11/03/2022 20:10:06,1647029406371,1,11/03/2022 21:10:06,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,34,2,Screen 2,advancementZone,response_keyboard_single,345.79999999701977,,,spacebar,1,0,1,0,,,,,1,demonstration,8000,250,
136,1647029407658,11/03/2022 20:10:07,1647029407367,1,11/03/2022 21:10:07,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,34,3,Screen 3,advancementZone,timelimit_screen,999.6010000000242,,,,,0,1,0,,,1,,1,demonstration,8000,250,
137,1647029407908,11/03/2022 20:10:07,1647029407616,1,11/03/2022 21:10:07,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,8,34,5,end,Zone1,timelimit_screen,249.95899999997346,,,,,0,1,0,,,1,,1,demonstration,8000,250,
138,1647029411919,11/03/2022 20:10:11,1647029411616,1,11/03/2022 21:10:11,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,35,1,Screen 1,Zone1,timelimit_screen,3998.42300000001,,,,,0,1,0,,,1,,1,demonstration,4000,250,
139,1647029412419,11/03/2022 20:10:12,1647029412129,1,11/03/2022 21:10:12,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,35,2,Screen 2,advancementZone,response_keyboard_single,504.20000000298023,,,spacebar,1,0,1,0,,,,,1,demonstration,4000,250,
140,1647029413421,11/03/2022 20:10:13,1647029413115,1,11/03/2022 21:10:13,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,35,3,Screen 3,advancementZone,timelimit_screen,999.5920000000042,,,,,0,1,0,,,1,,1,demonstration,4000,250,
141,1647029413657,11/03/2022 20:10:13,1647029413365,1,11/03/2022 21:10:13,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,14,35,5,end,Zone1,timelimit_screen,249.97099999996135,,,,,0,1,0,,,1,,1,demonstration,4000,250,
142,1647029416666,11/03/2022 20:10:16,1647029416364,1,11/03/2022 21:10:16,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,36,1,Screen 1,Zone1,timelimit_screen,2998.8099999999977,,,,,0,1,0,,,1,,1,demonstration,3000,250,
143,1647029417118,11/03/2022 20:10:17,1647029416818,1,11/03/2022 21:10:16,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,36,2,Screen 2,advancementZone,response_keyboard_single,444.30000000074506,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
144,1647029418114,11/03/2022 20:10:18,1647029417813,1,11/03/2022 21:10:17,73265,15,task-jmi7,,20312415,BLIND,6025452,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Chromium OS 14388.61.0,Chrome 98.0.4758.107,1536x864,1536x746,Part 1 completed,PVT-1,10,,Part 1 completed,Accuracy_level_0.55,Spreadsheet1,Spreadsheet1,15,36,3,Screen 3,advancementZone,timelimit_screen,999.6089999999967,,,,,0,1,0,,,1,,1,demonstration,3000,250,
