Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,timelimit,reset,
19,1644859506892,14/02/2022 17:25:06,1644859504928,1,14/02/2022 18:25:04,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,26,5,1,Screen 1,Zone1,timelimit_screen,5000.362000000001,,,,,0,1,0,,,1,,1,demonstration,5000,250,
20,1644859507223,14/02/2022 17:25:07,1644859505268,1,14/02/2022 18:25:05,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,26,5,2,Screen 2,advancementZone,response_keyboard_single,329.7000000011176,,,spacebar,1,0,1,0,,,,,1,demonstration,5000,250,
21,1644859508211,14/02/2022 17:25:08,1644859506261,1,14/02/2022 18:25:06,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,26,5,3,Screen 3,advancementZone,timelimit_screen,1000.0559999999969,,,,,0,1,0,,,1,,1,demonstration,5000,250,
22,1644859508493,14/02/2022 17:25:08,1644859506510,1,14/02/2022 18:25:06,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,26,5,5,end,Zone1,timelimit_screen,250.08699999999953,,,,,0,1,0,,,1,,1,demonstration,5000,250,
23,1644859511477,14/02/2022 17:25:11,1644859509512,1,14/02/2022 18:25:09,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,5,6,1,Screen 1,Zone1,timelimit_screen,3000.0610000000015,,,,,0,1,0,,,1,,1,demonstration,3000,250,
24,1644859511827,14/02/2022 17:25:11,1644859509879,1,14/02/2022 18:25:09,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,5,6,2,Screen 2,advancementZone,response_keyboard_single,358,,,spacebar,1,0,1,0,,,,,1,demonstration,3000,250,
25,1644859512826,14/02/2022 17:25:12,1644859510877,1,14/02/2022 18:25:10,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,5,6,3,Screen 3,advancementZone,timelimit_screen,1000.0380000000005,,,,,0,1,0,,,1,,1,demonstration,3000,250,
26,1644859513077,14/02/2022 17:25:13,1644859511127,1,14/02/2022 18:25:11,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,5,6,5,end,Zone1,timelimit_screen,250.02999999999884,,,,,0,1,0,,,1,,1,demonstration,3000,250,
27,1644859518081,14/02/2022 17:25:18,1644859516128,1,14/02/2022 18:25:16,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,36,7,1,Screen 1,Zone1,timelimit_screen,5000.4749999999985,,,,,0,1,0,,,1,,1,demonstration,5000,250,
28,1644859518387,14/02/2022 17:25:18,1644859516413,1,14/02/2022 18:25:16,73265,15,task-1lhj,,19437450,BLIND,5768823,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.50,1536x864,1519x754,Part 1 completed,PVT-1,10,Part 1 completed,,Accuracy_level_1,Spreadsheet1,Spreadsheet1,36,7,2,Screen 2,advancementZone,response_keyboard_single,275.1000000014901,,,spacebar,1,0,1,0,,,,,1,demonstration,5000,250,
